zona,geohash6,data,Hora,Minuto,localizacao_dicofre,rua,cidade,nivel_de_intensidade,velocidade,velocidade_kmh,atraso,comprimento,latitude,longitude,geowkt,geo
Cais do Sodré,eyckpw / eyckpy,2026-09-04,17,0,110661,R. do Poço dos Negros,LISBOA,40% a 21% da velocidade de fluxo livre,1.32222,4.76,133,252,38.7102,-9.15096,"LineString(-9.152217 38.709679, -9.151381 38.709949, -9.150832 38.710228, -9.150412 38.710464, -9.150137 38.710637, -9.149773 38.710864)","LINESTRING(-9.152217 38.709679, -9.151381 38.709949, -9.150832 38.710228, -9.150412 38.710464, -9.150137 38.710637, -9.149773 38.710864)"
Cais do Sodré,eyckpw / eyckpy,2026-09-04,17,4,110660,[BUS],LISBOA,Estrada bloqueada,7.06667,25.44,113,2434,38.7051,-9.15746,"LineString(-9.143876 38.706233, -9.144369 38.706279, -9.14725 38.706333, -9.154295 38.706453, -9.154783 38.706434, -9.1553 38.706369, -9.155469 38.706326, -9.155714 38.706264, -9.15607 38.706144, -9.159291 38.704632, -9.159566 38.70451, -9.159999 38.704347, -9.160618 38.704141, -9.161089 38.704013, -9.162966 38.703619, -9.163283 38.703569, -9.163627 38.703531, -9.164068 38.703507, -9.167132 38.703509, -9.167646 38.7035, -9.170131 38.7035, -9.170753 38.703461, -9.171015 38.703476)","LINESTRING(-9.143876 38.706233, -9.144369 38.706279, -9.14725 38.706333, -9.154295 38.706453, -9.154783 38.706434, -9.1553 38.706369, -9.155469 38.706326, -9.155714 38.706264, -9.15607 38.706144, -9.159291 38.704632, -9.159566 38.70451, -9.159999 38.704347, -9.160618 38.704141, -9.161089 38.704013, -9.162966 38.703619, -9.163283 38.703569, -9.163627 38.703531, -9.164068 38.703507, -9.167132 38.703509, -9.167646 38.7035, -9.170131 38.7035, -9.170753 38.703461, -9.171015 38.703476)"
Cais do Sodré,eyckpw / eyckpy,2026-09-04,17,4,110660,[BUS],LISBOA,Estrada bloqueada,7.08611,25.51,112,2434,38.7051,-9.15746,"LineString(-9.143876 38.706233, -9.144369 38.706279, -9.14725 38.706333, -9.154295 38.706453, -9.154783 38.706434, -9.1553 38.706369, -9.155469 38.706326, -9.155714 38.706264, -9.15607 38.706144, -9.159291 38.704632, -9.159566 38.70451, -9.159999 38.704347, -9.160618 38.704141, -9.161089 38.704013, -9.162966 38.703619, -9.163283 38.703569, -9.163627 38.703531, -9.164068 38.703507, -9.167132 38.703509, -9.167646 38.7035, -9.170131 38.7035, -9.170753 38.703461, -9.171015 38.703476)","LINESTRING(-9.143876 38.706233, -9.144369 38.706279, -9.14725 38.706333, -9.154295 38.706453, -9.154783 38.706434, -9.1553 38.706369, -9.155469 38.706326, -9.155714 38.706264, -9.15607 38.706144, -9.159291 38.704632, -9.159566 38.70451, -9.159999 38.704347, -9.160618 38.704141, -9.161089 38.704013, -9.162966 38.703619, -9.163283 38.703569, -9.163627 38.703531, -9.164068 38.703507, -9.167132 38.703509, -9.167646 38.7035, -9.170131 38.7035, -9.170753 38.703461, -9.171015 38.703476)"
Cais do Sodré,eyckpw / eyckpy,2026-09-04,17,4,110661,[BUS],LISBOA,Estrada bloqueada,6.17778,22.24,61,1010,38.7064,-9.14968,"LineString(-9.143876 38.706233, -9.144369 38.706279, -9.14725 38.706333, -9.154295 38.706453, -9.154783 38.706434, -9.1553 38.706369, -9.155469 38.706326)","LINESTRING(-9.143876 38.706233, -9.144369 38.706279, -9.14725 38.706333, -9.154295 38.706453, -9.154783 38.706434, -9.1553 38.706369, -9.155469 38.706326)"
Cais do Sodré,eyckpw,2026-09-04,17,11,110660,Av. 24 de Julho,LISBOA,40% a 21% da velocidade de fluxo livre,1.86389,6.71,96,224,38.7066,-9.15379,"LineString(-9.1525 38.706607, -9.152687 38.706608, -9.15401 38.70665, -9.15433 38.706661, -9.154724 38.706651, -9.155072 38.706596)","LINESTRING(-9.1525 38.706607, -9.152687 38.706608, -9.15401 38.70665, -9.15433 38.706661, -9.154724 38.706651, -9.155072 38.706596)"
Cais do Sodré,eyckpw / eyckpy,2026-09-04,17,11,110660,Av. 24 de Julho,LISBOA,40% a 21% da velocidade de fluxo livre,2.09722,7.55,119,356,38.7066,-9.15303,"LineString(-9.150982 38.706579, -9.1525 38.706607, -9.152687 38.706608, -9.15401 38.70665, -9.15433 38.706661, -9.154724 38.706651, -9.155072 38.706596)","LINESTRING(-9.150982 38.706579, -9.1525 38.706607, -9.152687 38.706608, -9.15401 38.70665, -9.15433 38.706661, -9.154724 38.706651, -9.155072 38.706596)"
Cais do Sodré,eyckpw / eyckpy,2026-09-04,17,11,110660,Av. 24 de Julho,LISBOA,40% a 21% da velocidade de fluxo livre,2.50833,9.03,91,356,38.7066,-9.15303,"LineString(-9.150982 38.706579, -9.1525 38.706607, -9.152687 38.706608, -9.15401 38.70665, -9.15433 38.706661, -9.154724 38.706651, -9.155072 38.706596)","LINESTRING(-9.150982 38.706579, -9.1525 38.706607, -9.152687 38.706608, -9.15401 38.70665, -9.15433 38.706661, -9.154724 38.706651, -9.155072 38.706596)"
Cais do Sodré,eyckpw,2026-09-04,17,15,110660,Av. 24 de Julho,LISBOA,Estrada bloqueada,6.29444,22.66,105,1547,38.7044,-9.16244,"LineString(-9.171015 38.703476, -9.170742 38.703535, -9.170575 38.703556, -9.170271 38.703574, -9.16817 38.703574, -9.164042 38.703569, -9.163681 38.703589, -9.163298 38.703632, -9.162921 38.703698, -9.162531 38.703781, -9.161267 38.704048, -9.160954 38.704126, -9.160437 38.704288, -9.159911 38.70448, -9.159515 38.704652, -9.156502 38.706072, -9.156059 38.706252, -9.155807 38.706339, -9.15555 38.706409, -9.15539 38.706441, -9.155192 38.706481, -9.154944 38.706519, -9.154501 38.706558, -9.154327 38.706561, -9.154111 38.706556)","LINESTRING(-9.171015 38.703476, -9.170742 38.703535, -9.170575 38.703556, -9.170271 38.703574, -9.16817 38.703574, -9.164042 38.703569, -9.163681 38.703589, -9.163298 38.703632, -9.162921 38.703698, -9.162531 38.703781, -9.161267 38.704048, -9.160954 38.704126, -9.160437 38.704288, -9.159911 38.70448, -9.159515 38.704652, -9.156502 38.706072, -9.156059 38.706252, -9.155807 38.706339, -9.15555 38.706409, -9.15539 38.706441, -9.155192 38.706481, -9.154944 38.706519, -9.154501 38.706558, -9.154327 38.706561, -9.154111 38.706556)"
Cais do Sodré,eyckpw,2026-09-04,17,21,110660,Lg. de Santos,LISBOA,60% a 41% da velocidade de fluxo livre,1.43333,5.16,98,193,38.7072,-9.1547,"LineString(-9.153864 38.707681, -9.155307 38.706917, -9.155235 38.706832, -9.155171 38.706706, -9.155072 38.706596)","LINESTRING(-9.153864 38.707681, -9.155307 38.706917, -9.155235 38.706832, -9.155171 38.706706, -9.155072 38.706596)"
Cais do Sodré,eyckpy,2026-09-04,17,21,110661,Av. 24 de Julho,LISBOA,40% a 21% da velocidade de fluxo livre,1.54444,5.56,116,247,38.7064,-9.14527,"LineString(-9.14669 38.706406, -9.144969 38.70639, -9.144508 38.706386, -9.144261 38.706365, -9.143862 38.706295)","LINESTRING(-9.14669 38.706406, -9.144969 38.70639, -9.144508 38.706386, -9.144261 38.706365, -9.143862 38.706295)"
Cais do Sodré,eyckpw / eyckpy,2026-09-04,17,22,110660,Av. 24 de Julho,LISBOA,40% a 21% da velocidade de fluxo livre,2.44444,8.8,86,325,38.7066,-9.15285,"LineString(-9.150982 38.706579, -9.1525 38.706607, -9.152687 38.706608, -9.15401 38.70665, -9.15433 38.706661, -9.154724 38.706651)","LINESTRING(-9.150982 38.706579, -9.1525 38.706607, -9.152687 38.706608, -9.15401 38.70665, -9.15433 38.706661, -9.154724 38.706651)"
Cais do Sodré,eyckpy,2026-09-04,17,35,110665,R. do Arsenal,LISBOA,20% a 1% da velocidade de fluxo livre,2.775,9.99,89,382,38.7077,-9.13966,"LineString(-9.137554 38.708116, -9.137761 38.708102, -9.13813 38.708016, -9.138741 38.707869, -9.138761 38.707867, -9.138987 38.707839, -9.13984 38.707626, -9.140169 38.70753, -9.141054 38.707317, -9.14176 38.707149)","LINESTRING(-9.137554 38.708116, -9.137761 38.708102, -9.13813 38.708016, -9.138741 38.707869, -9.138761 38.707867, -9.138987 38.707839, -9.13984 38.707626, -9.140169 38.70753, -9.141054 38.707317, -9.14176 38.707149)"
Cais do Sodré,eyckpy,2026-09-04,17,35,110665,R. do Arsenal,LISBOA,40% a 21% da velocidade de fluxo livre,1.79167,6.45,165,382,38.7077,-9.13966,"LineString(-9.137554 38.708116, -9.137761 38.708102, -9.13813 38.708016, -9.138741 38.707869, -9.138761 38.707867, -9.138987 38.707839, -9.13984 38.707626, -9.140169 38.70753, -9.141054 38.707317, -9.14176 38.707149)","LINESTRING(-9.137554 38.708116, -9.137761 38.708102, -9.13813 38.708016, -9.138741 38.707869, -9.138761 38.707867, -9.138987 38.707839, -9.13984 38.707626, -9.140169 38.70753, -9.141054 38.707317, -9.14176 38.707149)"
Cais do Sodré,eyckpy,2026-09-04,17,35,110665,R. do Arsenal,LISBOA,40% a 21% da velocidade de fluxo livre,2.56389,9.23,101,382,38.7077,-9.13966,"LineString(-9.137554 38.708116, -9.137761 38.708102, -9.13813 38.708016, -9.138741 38.707869, -9.138761 38.707867, -9.138987 38.707839, -9.13984 38.707626, -9.140169 38.70753, -9.141054 38.707317, -9.14176 38.707149)","LINESTRING(-9.137554 38.708116, -9.137761 38.708102, -9.13813 38.708016, -9.138741 38.707869, -9.138761 38.707867, -9.138987 38.707839, -9.13984 38.707626, -9.140169 38.70753, -9.141054 38.707317, -9.14176 38.707149)"
Cais do Sodré,eyckpy,2026-09-04,17,35,110665,R. do Arsenal,LISBOA,40% a 21% da velocidade de fluxo livre,2.6,9.36,99,382,38.7077,-9.13966,"LineString(-9.137554 38.708116, -9.137761 38.708102, -9.13813 38.708016, -9.138741 38.707869, -9.138761 38.707867, -9.138987 38.707839, -9.13984 38.707626, -9.140169 38.70753, -9.141054 38.707317, -9.14176 38.707149)","LINESTRING(-9.137554 38.708116, -9.137761 38.708102, -9.13813 38.708016, -9.138741 38.707869, -9.138761 38.707867, -9.138987 38.707839, -9.13984 38.707626, -9.140169 38.70753, -9.141054 38.707317, -9.14176 38.707149)"
Cais do Sodré,eyckpy,2026-09-04,17,35,110665,R. do Arsenal,LISBOA,60% a 41% da velocidade de fluxo livre,1.075,3.87,307,382,38.7077,-9.13966,"LineString(-9.137554 38.708116, -9.137761 38.708102, -9.13813 38.708016, -9.138741 38.707869, -9.138761 38.707867, -9.138987 38.707839, -9.13984 38.707626, -9.140169 38.70753, -9.141054 38.707317, -9.14176 38.707149)","LINESTRING(-9.137554 38.708116, -9.137761 38.708102, -9.13813 38.708016, -9.138741 38.707869, -9.138761 38.707867, -9.138987 38.707839, -9.13984 38.707626, -9.140169 38.70753, -9.141054 38.707317, -9.14176 38.707149)"
Cais do Sodré,eyckpy,2026-09-04,17,35,110665,R. do Arsenal,LISBOA,60% a 41% da velocidade de fluxo livre,1.35,4.86,235,382,38.7077,-9.13966,"LineString(-9.137554 38.708116, -9.137761 38.708102, -9.13813 38.708016, -9.138741 38.707869, -9.138761 38.707867, -9.138987 38.707839, -9.13984 38.707626, -9.140169 38.70753, -9.141054 38.707317, -9.14176 38.707149)","LINESTRING(-9.137554 38.708116, -9.137761 38.708102, -9.13813 38.708016, -9.138741 38.707869, -9.138761 38.707867, -9.138987 38.707839, -9.13984 38.707626, -9.140169 38.70753, -9.141054 38.707317, -9.14176 38.707149)"
Cais do Sodré,eyckpw,2026-09-04,17,39,110660,Av. 24 de Julho,LISBOA,20% a 1% da velocidade de fluxo livre,4.46111,16.06,83,691,38.7058,-9.15647,"LineString(-9.160017 38.704441, -9.159911 38.70448, -9.159515 38.704652, -9.156502 38.706072, -9.156059 38.706252, -9.155807 38.706339, -9.15555 38.706409, -9.15539 38.706441, -9.155192 38.706481, -9.154944 38.706519, -9.154501 38.706558, -9.154327 38.706561, -9.154111 38.706556, -9.152765 38.706511)","LINESTRING(-9.160017 38.704441, -9.159911 38.70448, -9.159515 38.704652, -9.156502 38.706072, -9.156059 38.706252, -9.155807 38.706339, -9.15555 38.706409, -9.15539 38.706441, -9.155192 38.706481, -9.154944 38.706519, -9.154501 38.706558, -9.154327 38.706561, -9.154111 38.706556, -9.152765 38.706511)"
Cais do Sodré,eyckpw,2026-09-04,17,39,110660,Av. 24 de Julho,LISBOA,Estrada bloqueada,7.375,26.55,70,1664,38.7046,-9.1618,"LineString(-9.171015 38.703476, -9.170742 38.703535, -9.170575 38.703556, -9.170271 38.703574, -9.16817 38.703574, -9.164042 38.703569, -9.163681 38.703589, -9.163298 38.703632, -9.162921 38.703698, -9.162531 38.703781, -9.161267 38.704048, -9.160954 38.704126, -9.160437 38.704288, -9.159911 38.70448, -9.159515 38.704652, -9.156502 38.706072, -9.156059 38.706252, -9.155807 38.706339, -9.15555 38.706409, -9.15539 38.706441, -9.155192 38.706481, -9.154944 38.706519, -9.154501 38.706558, -9.154327 38.706561, -9.154111 38.706556, -9.152765 38.706511)","LINESTRING(-9.171015 38.703476, -9.170742 38.703535, -9.170575 38.703556, -9.170271 38.703574, -9.16817 38.703574, -9.164042 38.703569, -9.163681 38.703589, -9.163298 38.703632, -9.162921 38.703698, -9.162531 38.703781, -9.161267 38.704048, -9.160954 38.704126, -9.160437 38.704288, -9.159911 38.70448, -9.159515 38.704652, -9.156502 38.706072, -9.156059 38.706252, -9.155807 38.706339, -9.15555 38.706409, -9.15539 38.706441, -9.155192 38.706481, -9.154944 38.706519, -9.154501 38.706558, -9.154327 38.706561, -9.154111 38.706556, -9.152765 38.706511)"
Cais do Sodré,eyckpy,2026-09-04,17,41,110661,[BUS],LISBOA,40% a 21% da velocidade de fluxo livre,2.37222,8.54,87,294,38.7063,-9.14556,"LineString(-9.143876 38.706233, -9.144369 38.706279, -9.14725 38.706333)","LINESTRING(-9.143876 38.706233, -9.144369 38.706279, -9.14725 38.706333)"
Cais do Sodré,eyckpw,2026-09-04,17,54,110660,Av. 24 de Julho,LISBOA,40% a 21% da velocidade de fluxo livre,3.56944,12.85,78,460,38.7063,-9.1553,"LineString(-9.157728 38.705494, -9.156502 38.706072, -9.156059 38.706252, -9.155807 38.706339, -9.15555 38.706409, -9.15539 38.706441, -9.155192 38.706481, -9.154944 38.706519, -9.154501 38.706558, -9.154327 38.706561, -9.154111 38.706556, -9.152765 38.706511)","LINESTRING(-9.157728 38.705494, -9.156502 38.706072, -9.156059 38.706252, -9.155807 38.706339, -9.15555 38.706409, -9.15539 38.706441, -9.155192 38.706481, -9.154944 38.706519, -9.154501 38.706558, -9.154327 38.706561, -9.154111 38.706556, -9.152765 38.706511)"
Cais do Sodré,eyckpy,2026-09-04,17,54,110661,R. do Alecrim,LISBOA,60% a 41% da velocidade de fluxo livre,1.25556,4.52,114,215,38.7095,-9.14314,"LineString(-9.143264 38.708585, -9.143145 38.709488, -9.143102 38.709811, -9.143015 38.710512)","LINESTRING(-9.143264 38.708585, -9.143145 38.709488, -9.143102 38.709811, -9.143015 38.710512)"
Cais do Sodré,eyckpw,2026-09-04,17,55,110660,Lg. de Santos,LISBOA,40% a 21% da velocidade de fluxo livre,0.969444,3.49,134,199,38.7072,-9.15474,"LineString(-9.153864 38.707681, -9.155307 38.706917, -9.155235 38.706832, -9.155238 38.70675, -9.155289 38.706639, -9.155383 38.706537)","LINESTRING(-9.153864 38.707681, -9.155307 38.706917, -9.155235 38.706832, -9.155238 38.70675, -9.155289 38.706639, -9.155383 38.706537)"
Cais do Sodré,eyckpw,2026-09-04,17,55,110660,Lg. de Santos,LISBOA,60% a 41% da velocidade de fluxo livre,1.21389,4.37,122,193,38.7072,-9.1547,"LineString(-9.153864 38.707681, -9.155307 38.706917, -9.155235 38.706832, -9.155171 38.706706, -9.155072 38.706596)","LINESTRING(-9.153864 38.707681, -9.155307 38.706917, -9.155235 38.706832, -9.155171 38.706706, -9.155072 38.706596)"
Cais do Sodré,eyckpy,2026-09-04,17,57,110661,[BUS],LISBOA,20% a 1% da velocidade de fluxo livre,1.74722,6.29,109,294,38.7063,-9.14556,"LineString(-9.14725 38.706333, -9.144369 38.706279, -9.143876 38.706233)","LINESTRING(-9.14725 38.706333, -9.144369 38.706279, -9.143876 38.706233)"
Cais do Sodré,eyckpw,2026-09-04,18,11,110660,Lg. de Santos,LISBOA,60% a 41% da velocidade de fluxo livre,1.52778,5.5,89,193,38.7072,-9.1547,"LineString(-9.153864 38.707681, -9.155307 38.706917, -9.155235 38.706832, -9.155171 38.706706, -9.155072 38.706596)","LINESTRING(-9.153864 38.707681, -9.155307 38.706917, -9.155235 38.706832, -9.155171 38.706706, -9.155072 38.706596)"
Cais do Sodré,eyckpy,2026-09-04,18,26,110661,Av. 24 de Julho,LISBOA,40% a 21% da velocidade de fluxo livre,2.35278,8.47,106,432,38.7064,-9.14633,"LineString(-9.148811 38.706439, -9.147364 38.706413, -9.147158 38.706409, -9.14669 38.706406, -9.144969 38.70639, -9.144508 38.706386, -9.144261 38.706365, -9.143862 38.706295)","LINESTRING(-9.148811 38.706439, -9.147364 38.706413, -9.147158 38.706409, -9.14669 38.706406, -9.144969 38.70639, -9.144508 38.706386, -9.144261 38.706365, -9.143862 38.706295)"
Cais do Sodré,eyckpw,2026-09-04,18,31,110660,[BUS],LISBOA,Estrada bloqueada,7.13333,25.68,74,1703,38.7045,-9.16156,"LineString(-9.152281 38.706418, -9.154295 38.706453, -9.154783 38.706434, -9.1553 38.706369, -9.155469 38.706326, -9.155714 38.706264, -9.15607 38.706144, -9.159291 38.704632, -9.159566 38.70451, -9.159999 38.704347, -9.160618 38.704141, -9.161089 38.704013, -9.162966 38.703619, -9.163283 38.703569, -9.163627 38.703531, -9.164068 38.703507, -9.167132 38.703509, -9.167646 38.7035, -9.170131 38.7035, -9.170753 38.703461, -9.171015 38.703476)","LINESTRING(-9.152281 38.706418, -9.154295 38.706453, -9.154783 38.706434, -9.1553 38.706369, -9.155469 38.706326, -9.155714 38.706264, -9.15607 38.706144, -9.159291 38.704632, -9.159566 38.70451, -9.159999 38.704347, -9.160618 38.704141, -9.161089 38.704013, -9.162966 38.703619, -9.163283 38.703569, -9.163627 38.703531, -9.164068 38.703507, -9.167132 38.703509, -9.167646 38.7035, -9.170131 38.7035, -9.170753 38.703461, -9.171015 38.703476)"
Cais do Sodré,eyckpw,2026-09-04,18,31,110660,[BUS],LISBOA,Estrada bloqueada,7.25,26.1,70,1703,38.7045,-9.16156,"LineString(-9.152281 38.706418, -9.154295 38.706453, -9.154783 38.706434, -9.1553 38.706369, -9.155469 38.706326, -9.155714 38.706264, -9.15607 38.706144, -9.159291 38.704632, -9.159566 38.70451, -9.159999 38.704347, -9.160618 38.704141, -9.161089 38.704013, -9.162966 38.703619, -9.163283 38.703569, -9.163627 38.703531, -9.164068 38.703507, -9.167132 38.703509, -9.167646 38.7035, -9.170131 38.7035, -9.170753 38.703461, -9.171015 38.703476)","LINESTRING(-9.152281 38.706418, -9.154295 38.706453, -9.154783 38.706434, -9.1553 38.706369, -9.155469 38.706326, -9.155714 38.706264, -9.15607 38.706144, -9.159291 38.704632, -9.159566 38.70451, -9.159999 38.704347, -9.160618 38.704141, -9.161089 38.704013, -9.162966 38.703619, -9.163283 38.703569, -9.163627 38.703531, -9.164068 38.703507, -9.167132 38.703509, -9.167646 38.7035, -9.170131 38.7035, -9.170753 38.703461, -9.171015 38.703476)"
Cais do Sodré,eyckpw,2026-09-04,19,33,110660,[BUS],LISBOA,Estrada bloqueada,6.18056,22.25,100,1424,38.7042,-9.16309,"LineString(-9.155469 38.706326, -9.155714 38.706264, -9.15607 38.706144, -9.159291 38.704632, -9.159566 38.70451, -9.159999 38.704347, -9.160618 38.704141, -9.161089 38.704013, -9.162966 38.703619, -9.163283 38.703569, -9.163627 38.703531, -9.164068 38.703507, -9.167132 38.703509, -9.167646 38.7035, -9.170131 38.7035, -9.170753 38.703461, -9.171015 38.703476)","LINESTRING(-9.155469 38.706326, -9.155714 38.706264, -9.15607 38.706144, -9.159291 38.704632, -9.159566 38.70451, -9.159999 38.704347, -9.160618 38.704141, -9.161089 38.704013, -9.162966 38.703619, -9.163283 38.703569, -9.163627 38.703531, -9.164068 38.703507, -9.167132 38.703509, -9.167646 38.7035, -9.170131 38.7035, -9.170753 38.703461, -9.171015 38.703476)"
Cais do Sodré,eyckpy,2026-09-04,19,42,110665,R. do Arsenal,LISBOA,20% a 1% da velocidade de fluxo livre,3.06944,11.05,76,382,38.7077,-9.13966,"LineString(-9.137554 38.708116, -9.137761 38.708102, -9.13813 38.708016, -9.138741 38.707869, -9.138761 38.707867, -9.138987 38.707839, -9.13984 38.707626, -9.140169 38.70753, -9.141054 38.707317, -9.14176 38.707149)","LINESTRING(-9.137554 38.708116, -9.137761 38.708102, -9.13813 38.708016, -9.138741 38.707869, -9.138761 38.707867, -9.138987 38.707839, -9.13984 38.707626, -9.140169 38.70753, -9.141054 38.707317, -9.14176 38.707149)"
Cais do Sodré,eyckpy,2026-09-04,19,42,110665,R. do Arsenal,LISBOA,40% a 21% da velocidade de fluxo livre,2.59722,9.35,99,382,38.7077,-9.13966,"LineString(-9.137554 38.708116, -9.137761 38.708102, -9.13813 38.708016, -9.138741 38.707869, -9.138761 38.707867, -9.138987 38.707839, -9.13984 38.707626, -9.140169 38.70753, -9.141054 38.707317, -9.14176 38.707149)","LINESTRING(-9.137554 38.708116, -9.137761 38.708102, -9.13813 38.708016, -9.138741 38.707869, -9.138761 38.707867, -9.138987 38.707839, -9.13984 38.707626, -9.140169 38.70753, -9.141054 38.707317, -9.14176 38.707149)"
Cais do Sodré,eyckpy,2026-09-04,19,47,110661,R. do Ferragial,LISBOA,40% a 21% da velocidade de fluxo livre,1.26111,4.54,105,194,38.7076,-9.14232,"LineString(-9.141251 38.707844, -9.142586 38.707527, -9.142803 38.707524, -9.143385 38.7077)","LINESTRING(-9.141251 38.707844, -9.142586 38.707527, -9.142803 38.707524, -9.143385 38.7077)"
Cais do Sodré,eyckpw / eyckpy,2026-09-04,19,56,110661,[BUS],LISBOA,40% a 21% da velocidade de fluxo livre,4.725,17.01,82,1069,38.7064,-9.14934,"LineString(-9.155469 38.706326, -9.1553 38.706369, -9.154783 38.706434, -9.154295 38.706453, -9.14725 38.706333, -9.144369 38.706279, -9.143876 38.706233, -9.143683 38.706209, -9.14347 38.706202, -9.143319 38.706216, -9.143214 38.706248)","LINESTRING(-9.155469 38.706326, -9.1553 38.706369, -9.154783 38.706434, -9.154295 38.706453, -9.14725 38.706333, -9.144369 38.706279, -9.143876 38.706233, -9.143683 38.706209, -9.14347 38.706202, -9.143319 38.706216, -9.143214 38.706248)"
Cais do Sodré,eyckpw,2026-09-04,20,3,110660,[BUS],LISBOA,Estrada bloqueada,8.16944,29.41,75,1485,38.7043,-9.16276,"LineString(-9.171015 38.703476, -9.170753 38.703461, -9.170131 38.7035, -9.167646 38.7035, -9.167132 38.703509, -9.164068 38.703507, -9.163627 38.703531, -9.163283 38.703569, -9.162966 38.703619, -9.161089 38.704013, -9.160618 38.704141, -9.159999 38.704347, -9.159566 38.70451, -9.159291 38.704632, -9.15607 38.706144, -9.155714 38.706264, -9.155469 38.706326, -9.1553 38.706369, -9.154783 38.706434)","LINESTRING(-9.171015 38.703476, -9.170753 38.703461, -9.170131 38.7035, -9.167646 38.7035, -9.167132 38.703509, -9.164068 38.703507, -9.163627 38.703531, -9.163283 38.703569, -9.162966 38.703619, -9.161089 38.704013, -9.160618 38.704141, -9.159999 38.704347, -9.159566 38.70451, -9.159291 38.704632, -9.15607 38.706144, -9.155714 38.706264, -9.155469 38.706326, -9.1553 38.706369, -9.154783 38.706434)"
Cais do Sodré,eyckpy,2026-09-04,20,6,110661,Av. 24 de Julho,LISBOA,40% a 21% da velocidade de fluxo livre,1.475,5.31,124,247,38.7064,-9.14527,"LineString(-9.14669 38.706406, -9.144969 38.70639, -9.144508 38.706386, -9.144261 38.706365, -9.143862 38.706295)","LINESTRING(-9.14669 38.706406, -9.144969 38.70639, -9.144508 38.706386, -9.144261 38.706365, -9.143862 38.706295)"
Cais do Sodré,eyckpy,2026-09-04,20,14,110665,R. do Arsenal,LISBOA,20% a 1% da velocidade de fluxo livre,2.79444,10.06,88,382,38.7077,-9.13966,"LineString(-9.137554 38.708116, -9.137761 38.708102, -9.13813 38.708016, -9.138741 38.707869, -9.138761 38.707867, -9.138987 38.707839, -9.13984 38.707626, -9.140169 38.70753, -9.141054 38.707317, -9.14176 38.707149)","LINESTRING(-9.137554 38.708116, -9.137761 38.708102, -9.13813 38.708016, -9.138741 38.707869, -9.138761 38.707867, -9.138987 38.707839, -9.13984 38.707626, -9.140169 38.70753, -9.141054 38.707317, -9.14176 38.707149)"
Cais do Sodré,eyckpy,2026-09-04,20,14,110665,R. do Arsenal,LISBOA,40% a 21% da velocidade de fluxo livre,2.04722,7.37,138,382,38.7077,-9.13966,"LineString(-9.137554 38.708116, -9.137761 38.708102, -9.13813 38.708016, -9.138741 38.707869, -9.138761 38.707867, -9.138987 38.707839, -9.13984 38.707626, -9.140169 38.70753, -9.141054 38.707317, -9.14176 38.707149)","LINESTRING(-9.137554 38.708116, -9.137761 38.708102, -9.13813 38.708016, -9.138741 38.707869, -9.138761 38.707867, -9.138987 38.707839, -9.13984 38.707626, -9.140169 38.70753, -9.141054 38.707317, -9.14176 38.707149)"
Cais do Sodré,eyckpy,2026-09-04,20,17,110661,Av. 24 de Julho,LISBOA,40% a 21% da velocidade de fluxo livre,1.98333,7.14,97,288,38.7064,-9.14551,"LineString(-9.147158 38.706409, -9.14669 38.706406, -9.144969 38.70639, -9.144508 38.706386, -9.144261 38.706365, -9.143862 38.706295)","LINESTRING(-9.147158 38.706409, -9.14669 38.706406, -9.144969 38.70639, -9.144508 38.706386, -9.144261 38.706365, -9.143862 38.706295)"
Cais do Sodré,eyckpy,2026-09-04,20,25,110661,R. do Ferragial,LISBOA,20% a 1% da velocidade de fluxo livre,1.57222,5.66,74,194,38.7076,-9.14232,"LineString(-9.141251 38.707844, -9.142586 38.707527, -9.142803 38.707524, -9.143385 38.7077)","LINESTRING(-9.141251 38.707844, -9.142586 38.707527, -9.142803 38.707524, -9.143385 38.7077)"
Cais do Sodré,eyckpy,2026-09-04,20,32,110661,Av. 24 de Julho,LISBOA,40% a 21% da velocidade de fluxo livre,3.225,11.61,64,432,38.7065,-9.14631,"LineString(-9.143836 38.706378, -9.144109 38.70642, -9.144629 38.706483, -9.144778 38.706484, -9.146303 38.706489, -9.147002 38.706504, -9.147152 38.706507, -9.148781 38.706538)","LINESTRING(-9.143836 38.706378, -9.144109 38.70642, -9.144629 38.706483, -9.144778 38.706484, -9.146303 38.706489, -9.147002 38.706504, -9.147152 38.706507, -9.148781 38.706538)"
Cais do Sodré,eyckpw / eyckpy,2026-09-04,20,32,110661,[BUS],LISBOA,Estrada bloqueada,6.03056,21.71,61,949,38.7064,-9.14933,"LineString(-9.143876 38.706233, -9.144369 38.706279, -9.14725 38.706333, -9.154295 38.706453, -9.154783 38.706434)","LINESTRING(-9.143876 38.706233, -9.144369 38.706279, -9.14725 38.706333, -9.154295 38.706453, -9.154783 38.706434)"
Cais do Sodré,eyckpw,2026-09-04,20,35,110660,R. do Machadinho,LISBOA,20% a 1% da velocidade de fluxo livre,0.969444,3.49,96,183,38.7088,-9.15607,"LineString(-9.15516 38.709259, -9.155814 38.70893, -9.156217 38.708727, -9.156996 38.708455)","LINESTRING(-9.15516 38.709259, -9.155814 38.70893, -9.156217 38.708727, -9.156996 38.708455)"
