fare_id,route_id
T2-PREPAGO,4504_0
T2-BORDO,4512_0
T2-PREPAGO,4512_0
T2-BORDO,4512_1
T2-PREPAGO,4512_1
T2-BORDO,4514_0
T2-PREPAGO,4514_0
T2-BORDO,4514_1
T2-PREPAGO,4514_1
T2-BORDO,4514_3
T2-PREPAGO,4514_3
T2-BORDO,4515_0
T2-PREPAGO,4515_0
T2-BORDO,4516_0
T2-PREPAGO,4516_0
T2-BORDO,4516_1
T2-PREPAGO,4516_1
T2-BORDO,4520_0
T2-PREPAGO,4520_0
T2-BORDO,4521_0
T2-PREPAGO,4521_0
T2-BORDO,4522_0
T2-PREPAGO,4522_0
T2-BORDO,4524_0
T2-PREPAGO,4524_0
T2-BORDO,4525_0
T2-PREPAGO,4525_0
T2-BORDO,4530_0
T2-PREPAGO,4530_0
T2-BORDO,4531_0
T2-PREPAGO,4531_0
T2-BORDO,4532_0
T2-PREPAGO,4532_0
T2-BORDO,4540_0
T2-PREPAGO,4540_0
T2-BORDO,4540_1
T2-PREPAGO,4540_1
T2-BORDO,4541_0
T2-PREPAGO,4541_0
T2-BORDO,4542_0
T2-PREPAGO,4542_0
T2-BORDO,4543_0
T2-PREPAGO,4543_0
T2-BORDO,4544_0
T2-PREPAGO,4544_0
T2-BORDO,4544_1
T2-PREPAGO,4544_1
T2-BORDO,4544_2
T2-PREPAGO,4544_2
T2-BORDO,4545_0
T2-PREPAGO,4545_0
T2-BORDO,4546_0
T2-PREPAGO,4546_0
T2-BORDO,4548_0
T2-PREPAGO,4548_0
T2-BORDO,4549_0
T2-PREPAGO,4549_0
T2-BORDO,4550_0
T2-PREPAGO,4550_0
T2-BORDO,4551_0
T2-PREPAGO,4551_0
T2-BORDO,4552_0
T2-PREPAGO,4552_0
T2-BORDO,4560_0
T2-PREPAGO,4560_0
T2-BORDO,4562_0
T2-PREPAGO,4562_0
T2-BORDO,4600_0
T2-PREPAGO,4600_0
T2-BORDO,4600_2
T2-PREPAGO,4600_2
T2-BORDO,4602_0
T2-PREPAGO,4602_0
T2-BORDO,4604_0
T2-PREPAGO,4604_0
T2-BORDO,4605_0
T2-PREPAGO,4605_0
T2-BORDO,4610_0
T2-PREPAGO,4610_0
T2-BORDO,4611_0
T2-PREPAGO,4611_0
T2-BORDO,4612_0
T2-PREPAGO,4612_0
T2-BORDO,4620_0
T2-PREPAGO,4620_0
T2-BORDO,4620_1
T2-PREPAGO,4620_1
T2-BORDO,4621_0
T2-PREPAGO,4621_0
T2-BORDO,4632_0
T2-PREPAGO,4632_0
T2-BORDO,4641_0
T2-PREPAGO,4641_0
T2-BORDO,4641_1
T2-PREPAGO,4641_1
T5-BORDO,4643_0
T5-PREPAGO,4643_0
T3-BORDO,4701_0
T3-PREPAGO,4701_0
T3-BORDO,4701_1
T3-PREPAGO,4701_1
T3-BORDO,4701_3
T3-PREPAGO,4701_3
T3-BORDO,4702_0
T3-PREPAGO,4702_0
T3-BORDO,4704_0
T3-PREPAGO,4704_0
T3-BORDO,4705_0
T3-PREPAGO,4705_0
T3-BORDO,4706_0
T3-PREPAGO,4706_0
T3-BORDO,4707_0
T3-PREPAGO,4707_0
T3-BORDO,4708_0
T3-PREPAGO,4708_0
T3-BORDO,4710_0
T3-PREPAGO,4710_0
T3-BORDO,4710_1
T3-PREPAGO,4710_1
T3-BORDO,4715_0
T3-PREPAGO,4715_0
T3-BORDO,4720_0
T3-PREPAGO,4720_0
T3-BORDO,4721_0
T3-PREPAGO,4721_0
T3-BORDO,4725_0
T3-PREPAGO,4725_0
T2-BORDO,4730_0
T2-PREPAGO,4730_0
T3-BORDO,4741_0
T3-PREPAGO,4741_0
T2-BORDO,4901_0
T2-PREPAGO,4901_0
T2-BORDO,4901_1
T2-PREPAGO,4901_1
T2-BORDO,4902_0
T2-PREPAGO,4902_0
T2-BORDO,4905_0
T4B-BORDO,4905_0
T2-PREPAGO,4905_0
T2-BORDO,4905_1
T4B-BORDO,4905_1
T2-PREPAGO,4905_1
T2-BORDO,4906_0
T4B-BORDO,4906_0
T2-PREPAGO,4906_0
T2-BORDO,4906_1
T4B-BORDO,4906_1
T2-PREPAGO,4906_1
