line_id,line_short_name,line_long_name,route_id,agency_id,route_origin,route_destination,route_short_name,route_long_name,route_desc,route_remarks,route_type,contract,path_type,circular,school,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
2136,2136,Jerumelo - Mafra (Terminal),2136_0,42,Jerumelo,Mafra (Terminal),2136,Jerumelo - Mafra (Terminal),,,3,"",1,0,,,C61D23,FFFFFF,,,
2137,2137,Lagoa (Colégio Miramar) - Mafra (Palácio),2137_0,42,Lagoa (Colégio Miramar),Mafra (Palácio),2137,Lagoa (Colégio Miramar) - Mafra (Palácio),,,3,"",1,0,,,C61D23,FFFFFF,,,
2137,2137,Lagoa (Colégio Miramar) - Mafra (Palácio),2137_1,42,Mafra (Alto da Vela),Lagoa (Colégio Miramar),2137,Mafra (Alto da Vela) - Lagoa (Colégio Miramar),,,3,"",3,0,,,C61D23,FFFFFF,,,
2138,2138,Lagoa (Colégio Miramar) - São Domingos,2138_0,42,Lagoa (Colégio Miramar),São Domingos,2138,Lagoa (Colégio Miramar) - São Domingos,,,3,"",1,0,,,C61D23,FFFFFF,,,
2139,2139,Lagoa (Colégio Miramar) - Sobral da Abelheira,2139_0,42,Lagoa (Colégio Miramar),Sobral da Abelheira,2139,Lagoa (Colégio Miramar) - Sobral da Abelheira,,,3,"",1,0,,,C61D23,FFFFFF,,,
2140,2140,Lagoa (Colégio Miramar) - Sobreiro,2140_0,42,Lagoa (Colégio Miramar),Sobreiro,2140,Lagoa (Colégio Miramar) - Sobreiro,,,3,"",1,0,,,C61D23,FFFFFF,,,
2141,2141,Mafra (Terminal) - Ribamar,2141_0,42,Mafra (Terminal),Ribamar,2141,Mafra (Terminal) - Ribamar,,,3,"",1,0,,,C61D23,FFFFFF,,,
2142,2142,Mafra (Almada) | Circular,2142_0,42,Mafra (Almada),Mafra (Almada) | Circular,2142,Mafra (Almada) | Circular,,,3,"",1,1,,,3D85C6,FFFFFF,,,
2142,2142,Mafra (Almada) | Circular,2142_1,42,Mafra (Almada),Mafra (Almada),2142,Mafra (Almada) | Circular,,,3,"",3,0,,,3D85C6,FFFFFF,,,
2142,2142,Mafra (Almada) | Circular,2142_2,42,Mafra (Almada),Mafra (Terminal),2142,Mafra (Almada) - Mafra (Terminal),,,3,"",3,0,,,3D85C6,FFFFFF,,,
2143,2143,Mafra (Palácio) - Zambujal,2143_0,42,Mafra (Palácio),Zambujal,2143,Mafra (Palácio) - Zambujal,,,3,"",1,0,,,C61D23,FFFFFF,,,
2144,2144,Mafra (Parque Desportivo) - Livramento,2144_0,42,Mafra (Parque Desportivo),Livramento,2144,Mafra (Parque Desportivo) - Livramento,,,3,"",1,0,,,C61D23,FFFFFF,,,
2144,2144,Mafra (Parque Desportivo) - Livramento,2144_1,42,Mafra (Parque Desportivo),Santo Isidoro,2144,Mafra (Parque Desportivo) - Santo Isidoro,,,3,"",3,0,,,C61D23,FFFFFF,,,
2144,2144,Mafra (Parque Desportivo) - Livramento,2144_2,42,Monte Bom,Mafra (Parque Desportivo),2144,Monte Bom - Mafra (Parque Desportivo),,,3,"",3,0,,,C61D23,FFFFFF,,,
2144,2144,Mafra (Parque Desportivo) - Livramento,2144_3,42,Monte Bom,Mafra (Parque Desportivo),2144,Monte Bom - Mafra (Terminal),,,3,"",3,0,,,C61D23,FFFFFF,,,
2145,2145,Mafra | Circular via Sobral da Abelheira,2145_0,42,Mafra,Mafra (Parque Desportivo)| Circular,2145,Mafra | Circular via Sobral da Abelheira,,,3,"",1,1,,,C61D23,FFFFFF,,,
2145,2145,Mafra | Circular via Sobral da Abelheira,2145_1,42,Mafra,Mafra (Parque Desportivo)| Circular,2145,Mafra | Circular via Sobral da Abelheira e Casais Monte Bom,,,3,"",3,1,,,C61D23,FFFFFF,,,
2146,2146,Malveira (Centro Saúde) | Circular,2146_0,42,Malveira (Centro Saúde),Malveira (Centro de Saúde),2146,Malveira (Centro Saúde | Circular,,,3,"",1,1,,,C61D23,FFFFFF,,,
2147,2147,Milharado - Venda do Pinheiro (Terminal),2147_0,42,Milharado,Venda do Pinheiro,2147,Milharado - Venda do Pinheiro (Terminal),,,3,"",1,0,,,C61D23,FFFFFF,,,
2147,2147,Milharado - Venda do Pinheiro (Terminal),2147_1,42,Venda do Pinheiro (Terminal),Póvoa da Galega,2147,Venda do Pinheiro (Escola) - Póvoa da Galega,,,3,"",3,0,,,C61D23,FFFFFF,,,
2148,2148,Póvoa da Galega - Venda do Pinheiro (Terminal),2148_0,42,Póvoa da Galega,Venda do Pinheiro,2148,Póvoa da Galega - Venda do Pinheiro (Terminal),,,3,"",1,0,,,C61D23,FFFFFF,,,
2148,2148,Póvoa da Galega - Venda do Pinheiro (Terminal),2148_1,42,Venda do Pinheiro (Terminal),Póvoa da Galega,2148,Venda do Pinheiro (Terminal) - Póvoa da Galega,,,3,"",3,0,,,C61D23,FFFFFF,,,
2149,2149,Prezinheira - Venda do Pinheiro (Terminal),2149_0,42,Prezinheira,Venda do Pinheiro,2149,Prezinheira - Venda do Pinheiro (Terminal),,,3,"",1,0,,,C61D23,FFFFFF,,,
2150,2150,Carvalhal - Venda do Pinheiro (Colégio Santo André),2150_0,42,Carvalhal,Venda do Pinheiro (Colégio Santo André),2150,Carvalhal - Venda do Pinheiro (Colégio Santo André),,,3,"",1,0,,,C61D23,FFFFFF,,,
2150,2150,Carvalhal - Venda do Pinheiro (Colégio Santo André),2150_1,42,Venda do Pinheiro,Cheleiros,2150,Venda do Pinheiro - Cheleiros via Arrifana,,,3,"",3,0,,,C61D23,FFFFFF,,,
2151,2151,Venda do Pinheiro (Terminal) - Vila de Canas,2151_0,42,Venda do Pinheiro (Terminal),Vila de Canas,2151,Venda do Pinheiro (Terminal) - Vila de Canas,,,3,"",1,0,,,C61D23,FFFFFF,,,
2152,2152,Antas - Malveira (Escola),2152_0,42,Antas,Malveira (Escola),2152,Antas - Malveira (Escola),,,3,"",1,0,,,C61D23,FFFFFF,,,
2202,2202,Arroja - Senhor Roubado (Metro),2202_0,42,,Senhor Roubado (Metro),2202,Arroja - Senhor Roubado (Metro),,,3,"",1,0,,,C61D23,FFFFFF,,,
2203,2203,Arroja | Circular via Odivelas (Metro),2203_0,42,,Arroja,2203,Arroja | Circular via Odivelas (Metro),,,3,"",1,1,,,C61D23,FFFFFF,,,
2206,2206,Caneças (Escola Secundária) - Senhor Roubado (Metro) via Patameiras (Centro Comercial),2206_0,42,Caneças (Esc. Secundária),Senhor Roubado (Metro),2206,Caneças (Escola Secundária) - Senhor Roubado (Metro) via Patameiras (Centro Comercial),,,3,"",1,0,,,C61D23,FFFFFF,,,
2207,2207,Caneças (Escola Secundária) - Odivelas (Metro),2207_0,42,,Odivelas (Metro),2207,Caneças (Escola Secundária) - Odivelas (Metro),,,3,"",1,0,,,C61D23,FFFFFF,,,
2208,2208,Caneças (Jardim) - Vale Nogueira,2208_0,42,Caneças (Jardim),Vale Nogueira,2208,Caneças (Jardim) - Vale Nogueira,,,3,"",1,0,,,C61D23,FFFFFF,,,
2209,2209,Caneças (Escola Secundária) - Senhor Roubado (Metro) via Casal do Bispo,2209_0,42,,Senhor Roubado (Metro),2209,Caneças (Escola Secundária) - Senhor Roubado (Metro) via Casal do Bispo,,,3,"",1,0,,,C61D23,FFFFFF,,,
2210,2210,Jardim da Amoreira | Circular via Colinas do Cruzeiro,2210_0,42,,Jardim da Amoreira,2210,Jardim da Amoreira | Circular via Colinas do Cruzeiro,,,3,"",1,1,,,C61D23,FFFFFF,,,
2212,2212,Odivelas (Centro Comercial) | Circular,2212_0,42,,Odivelas (Centro Comercial),2212,Odivelas (Centro Comercial) | Circular,,,3,"",1,1,,,3D85C6,FFFFFF,,,
