layover_id,agency_id,service_id,start_time,end_time,location_id,block_id,start_shift_id,end_shift_id
ED106_1165_1195,43,ESC_DOM,19:25:00,19:55:00,020533,ESC_DOM_ED106,ED106,ED106
ED106_1238_1240,43,ESC_DOM,20:38:00,20:40:00,020835,ESC_DOM_ED106,ED106,ED106
ED106_550_560,43,ESC_DOM,09:10:00,09:20:00,020113,ESC_DOM_ED106,ED106,ED106
ED106_637_640,43,ESC_DOM,10:37:00,10:40:00,149998,ESC_DOM_ED106,ED106,ED106
ED106_660_670,43,ESC_DOM,11:00:00,11:10:00,020187,ESC_DOM_ED106,ED106,ED106
ED106_710_750,43,ESC_DOM,11:50:00,12:30:00,150484,ESC_DOM_ED106,ED106,ED106
ED106_775_780,43,ESC_DOM,12:55:00,13:00:00,150484,ESC_DOM_ED106,ED106,ED106
ED106_825_855,43,ESC_DOM,13:45:00,14:15:00,149999,ESC_DOM_ED106,ED106,ED106
ED106_885_930,43,ESC_DOM,14:45:00,15:30:00,140615,ESC_DOM_ED106,ED106,ED106
ED106_988_1015,43,ESC_DOM,16:28:00,16:55:00,020533,ESC_DOM_ED106,ED106,ED106
ED108_1098_1105,43,ESC_DOM,18:18:00,18:25:00,020317,ESC_DOM_ED108,ED108,ED108
ED108_1175_1200,43,ESC_DOM,19:35:00,20:00:00,020317,ESC_DOM_ED108,ED108,ED108
ED108_1255_1260,43,ESC_DOM,20:55:00,21:00:00,140021,ESC_DOM_ED108,ED108,ED108
ED108_1320_1340,43,ESC_DOM,22:00:00,22:20:00,020955,ESC_DOM_ED108,ED108,ED108
ED108_1423_1425,43,ESC_DOM,23:43:00,23:45:00,026193,ESC_DOM_ED108,ED108,ED108
ED108_1480_1485,43,ESC_DOM,24:40:00,24:45:00,069357,ESC_DOM_ED108,ED108,ED108
ED108_555_560,43,ESC_DOM,09:15:00,09:20:00,020489,ESC_DOM_ED108,ED108,ED108
ED108_670_675,43,ESC_DOM,11:10:00,11:15:00,140763,ESC_DOM_ED108,ED108,ED108
ED108_720_765,43,ESC_DOM,12:00:00,12:45:00,020973,ESC_DOM_ED108,ED108,ED108
ED108_805_810,43,ESC_DOM,13:25:00,13:30:00,020967,ESC_DOM_ED108,ED108,ED108
ED108_850_895,43,ESC_DOM,14:10:00,14:55:00,020959,ESC_DOM_ED108,ED108,ED108
ED108_935_940,43,ESC_DOM,15:35:00,15:40:00,029589,ESC_DOM_ED108,ED108,ED108
ED109_1050_1090,43,ESC_DOM,17:30:00,18:10:00,020549,ESC_DOM_ED109,ED109,ED109
ED109_1110_1120,43,ESC_DOM,18:30:00,18:40:00,020569,ESC_DOM_ED109,ED109,ED109
ED109_570_575,43,ESC_DOM,09:30:00,09:35:00,021064,ESC_DOM_ED109,ED109,ED109
ED109_595_610,43,ESC_DOM,09:55:00,10:10:00,020617,ESC_DOM_ED109,ED109,ED109
ED109_630_635,43,ESC_DOM,10:30:00,10:35:00,021064,ESC_DOM_ED109,ED109,ED109
