line_id,line_short_name,line_long_name,route_id,agency_id,route_origin,route_destination,route_short_name,route_long_name,route_desc,route_remarks,route_type,contract,path_type,circular,school,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
3116,3116,Marisol (Valadares) - Seixal (Terminal Fluvial) via Corroios (Estação),3116_0,43,AV DA MARISOL 266,Seixal-Terminal Fluvial P4,3116,Marisol (Valadares) - Seixal (Terminal Fluvial) via Corroios (Estação),,,3,,1,0,,,C61D23,FFFFFF,,1,1
3116,3116,Marisol (Valadares) - Seixal (Terminal Fluvial) via Corroios (Estação),3116_1,43,AV DA MARISOL 266,Seixal-Terminal Fluvial P4,3116,Marisol (Valadares) - Corroios (Estação),,,3,,3,0,,,C61D23,FFFFFF,,1,1
3118,3118,Marisol (Valadares) - Seixal (Terminal Fluvial),3118_0,43,AV DA MARISOL 266,Seixal-Terminal Fluvial P4,3118,Marisol (Valadares) - Seixal (Terminal Fluvial),,,3,,1,0,,,C61D23,FFFFFF,,1,1
3118,3118,Marisol (Valadares) - Seixal (Terminal Fluvial),3118_1,43,AV DA MARISOL 266,Seixal-Terminal Fluvial P4,3118,Marisol (Valadares) - Foros de Amora (Estação),,,3,,3,0,,,C61D23,FFFFFF,,1,1
3119,3119,Pinhal Conde Cunha - Seixal (Terminal Fluvial),3119_0,43,PINHAL C CUNHA (R ADOLFO CAS MONT) 74,SEIXAL (TERMINAL FLUVIAL) P3,3119,Pinhal Conde Cunha - Seixal (Terminal Fluvial),,,3,,1,0,,,C61D23,FFFFFF,,1,1
3120,3120,Redondos - Seixal (Terminal Fluvial),3120_0,43,REDONDOS TR RIO COINA 133 (x) R MIRA,SEIXAL (TERMINAL FLUVIAL) P3,3120,Redondos - Seixal (Terminal Fluvial),,,3,,1,0,,,C61D23,FFFFFF,,1,1
3121,3121,Seixal | Circular,3121_0,43,Seixal (Terminal Fluvial) P1,Seixal (Terminal Fluvial) P1,3121,Seixal | Circular,,,3,,1,1,,,3D85C6,FFFFFF,,1,1
3201,3201,Aldeia do Meco - Sesimbra (Terminal) via Aiana,3201_0,43,ALDEIA MECO (R PRAIA M BAIXO) CENTRO,SESIMBRA (TERMINAL),3201,Aldeia do Meco - Sesimbra (Terminal) via Aiana,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3202,3202,Alfarim - Sesimbra (Terminal) via Aiana,3202_0,43,ALFARIM (EN377) CENTRO,SESIMBRA (TERMINAL),3202,Alfarim - Sesimbra (Terminal) via Aiana,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3203,3203,Azoia - Sesimbra (Terminal),3203_0,43,AZÓIA (ESTR CABO) XAVIER LIMA,SESIMBRA (TERMINAL),3203,Azoia - Sesimbra (Terminal),,,3,,1,0,,,C61D23,FFFFFF,,1,1
3204,3204,Azoia - Sesimbra (Terminal) via Serra da Azoia,3204_0,43,AZÓIA (ESTR CABO) XAVIER LIMA,SESIMBRA (TERMINAL),3204,Azoia - Sesimbra (Terminal) via Serra da Azoia,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3205,3205,Cabo Espichel - Sesimbra (Terminal),3205_0,43,CABO ESPICHEL,SESIMBRA (TERMINAL),3205,Cabo Espichel - Sesimbra (Terminal),,,3,,1,0,,,C61D23,FFFFFF,,1,1
3206,3206,Carrasqueira - Sesimbra (Terminal),3206_0,43,CARRASQUEIRA (EN 378) LAR,SESIMBRA (TERMINAL),3206,Carrasqueira - Sesimbra (Terminal),,,3,,1,0,,,C61D23,FFFFFF,,1,1
3207,3207,Carrasqueira - Sesimbra (Terminal) via Valbom e Sampaio,3207_0,43,CARRASQUEIRA (R DAS ORQUIDEAS),SESIMBRA (TERMINAL),3207,Carrasqueira - Sesimbra (Terminal) via Valbom e Sampaio,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3208,3208,Aldeia do Meco - Sesimbra (Terminal) via Zambujal,3208_0,43,ALDEIA MECO (R PRAIA M BAIXO) CENTRO,SESIMBRA (TERMINAL),3208,Aldeia do Meco - Sesimbra (Terminal) via Zambujal,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3209,3209,Fetais - Sesimbra (Terminal) via Aiana,3209_0,43,FETAIS ( RUA DA FONTE),SESIMBRA (TERMINAL),3209,Fetais - Sesimbra (Terminal) via Aiana,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3210,3210,Lagoa de Albufeira - Sesimbra (Terminal) via Praia da Lagoa de Albufeira e do Meco,3210_0,43,Mercado Lagoa de Albufeira,SESIMBRA (TERMINAL),3210,Lagoa de Albufeira - Sesimbra (Terminal) via Praia da Lagoa de Albufeira e do Meco,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3211,3211,Lagoa de Albufeira - Sesimbra (Terminal) via Sampaio,3211_0,43,Av Alcaide (X) R Vasco Santana,SESIMBRA (TERMINAL),3211,Lagoa de Albufeira - Sesimbra (Terminal) via Sampaio,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3212,3212,Maçã (Rua Macieira) - Sesimbra (Terminal),3212_0,43,MAÇÃ (R MACIEIRA (X) EN 379),SESIMBRA (TERMINAL),3212,Maçã (Rua Macieira) - Sesimbra (Terminal),,,3,,1,0,,,C61D23,FFFFFF,,1,1
3213,3213,Sesimbra | Circular via Pinhal de Cima,3213_0,43,SESIMBRA (TERMINAL),SESIMBRA (TERMINAL),3213,Sesimbra | Circular via Pinhal de Cima,,,3,,1,1,,,C61D23,FFFFFF,,1,1
3214,3214,Sampaio - Santana,3214_0,43,SAMPAIO (ESCOLAS) TERMINAL,SANTANA (R ALMOINHA) P TÁXIS,3214,Sampaio - Santana,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3215,3215,Fornos - Sampaio (via Aiana),3215_0,43,FORNOS TERMINAL,SAMPAIO (ESCOLAS) TERMINAL,3215,Fornos - Sampaio (via Aiana),,,3,,1,0,,,C61D23,FFFFFF,,1,1
3216,3216,Maçã - Sampaio,3216_0,43,MAÇÃ (R MACIEIRA (X) EN 379),SAMPAIO (ESCOLAS) TERMINAL,3216,Maçã - Sampaio,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3217,3217,Azoia - Sampaio,3217_0,43,AZÓIA (ESTR CABO) XAVIER LIMA,SAMPAIO (ESCOLAS) TERMINAL,3217,Azoia - Sampaio,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3218,3218,Sesimbra | Circular via Porto de Abrigo,3218_0,43,SESIMBRA (TERMINAL),SESIMBRA (TERMINAL),3218,Sesimbra | Circular via Porto de Abrigo,,,3,TML,1,1,,,3D85C6,FFFFFF,,1,1
3218,3218,Sesimbra | Circular via Porto de Abrigo,3218_1,43,SESIMBRA (TERMINAL),SESIMBRA (TERMINAL),3218,Sesimbra | Circular via Porto de Abrigo e Parque de Campismo,,,3,TML,3,1,,,3D85C6,FFFFFF,,1,1
3220,3220,Sesimbra (Centro) | Circular,3220_0,43,AVª LIBERDADE - JARDIM,AVª LIBERDADE - JARDIM,3220,Sesimbra (Centro) | Circular,,,3,,1,1,,,3D85C6,FFFFFF,,1,1
3221,3221,Valbom - Sesimbra (Terminal) via Sampaio,3221_0,43,CH COTOVIA (R CH COTOVIA) PARQ CAMPISMO,SESIMBRA (TERMINAL),3221,Valbom - Sesimbra (Terminal) via Sampaio,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3222,3222,Quinta do Conde | Circular,3222_0,43,QTA CONDE (R MANUEL ARRIAGA) MERCADO,QTA CONDE (R MANUEL ARRIAGA) MERCADO,3222,Quinta do Conde | Circular,,,3,,1,1,,,3D85C6,FFFFFF,,1,1
3223,3223,Sampaio (Moagem) - Sesimbra (Terminal),3223_0,43,SANTANA (AV S V MELO) SUPERMERCADO,SESIMBRA (TERMINAL),3223,Sampaio (Moagem) - Sesimbra (Terminal),,Shuttle Sesimbra,3,,1,0,,,3D85C6,FFFFFF,,1,1
3503,3503,Almada Forum - Vale de Milhaços,3503_0,43,Centro Comercial de Almada P2,AV VALE MILHAÇOS 190 CENTRO CONVIVIO,3503,Almada Forum - Vale de Milhaços,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3504,3504,Hospital Garcia de Orta - Quintinhas,3504_0,43,PRAGAL (AVª TORRADO SILVA) FTE HOSPITAL G ORTA,R EUGÉNIO SALVADOR 21,3504,Hospital Garcia de Orta - Quintinhas,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3505,3505,Cacilhas (Terminal) - Paio Pires (Farinheiras),3505_0,43,Cacilhas (Terminal) P6,FARINHEIRAS (AV 8 MARÇO),3505,Cacilhas (Terminal) - Paio Pires (Farinheiras),,,3,,1,0,,,C61D23,FFFFFF,,1,1
3506,3506,Cacilhas (Terminal) - Corroios (Estação) via Miratejo,3506_0,43,Cacilhas (Terminal) P9,Corroios (Estação) P0,3506,Cacilhas (Terminal) - Corroios (Estação) via Miratejo,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3507,3507,Cacilhas (Terminal) - Marisol,3507_0,43,Cacilhas (Terminal) P6,MARISOL (R VIEIRA LUSITANO 36) TERMINAL,3507,Cacilhas (Terminal) - Marisol,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3508,3508,Cacilhas (Terminal) - Paio Pires (Centro),3508_0,43,Cacilhas (Terminal) P7,PAIO PIRES (SOC FILARMÓNICA 5 OUT),3508,Cacilhas (Terminal) - Paio Pires (Centro),,,3,,1,0,,,C61D23,FFFFFF,,1,1
3508,3508,Cacilhas (Terminal) - Paio Pires (Centro),3508_1,43,Cacilhas (Terminal) P7,PAIO PIRES (SOC FILARMÓNICA 5 OUT),3508,Foros de Amora (Estação) - Paio Pires (Centro),,,3,,3,0,,,C61D23,FFFFFF,,1,1
3508,3508,Cacilhas (Terminal) - Paio Pires (Centro),3508_2,43,Cacilhas (Terminal) P7,PAIO PIRES (SOC FILARMÓNICA 5 OUT),3508,Corroios (Estação) - Paio Pires (Centro),,,3,,3,0,,,C61D23,FFFFFF,,1,1
3508,3508,Cacilhas (Terminal) - Paio Pires (Centro),3508_3,43,Cacilhas (Terminal) P7,PAIO PIRES (SOC FILARMÓNICA 5 OUT),3508,Cacilhas (Terminal) - Fogueteiro,,,3,,3,0,,,C61D23,FFFFFF,,1,1
3509,3509,Cacilhas (Terminal) - Paio Pires (Centro) via Seixal (Terminal Fluvial) e Amora,3509_0,43,Cacilhas (Terminal) P7,PAIO PIRES (SOC FILARMÓNICA 5 OUT),3509,Cacilhas (Terminal) - Paio Pires (Centro) via Seixal (Terminal Fluvial) e Amora,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3509,3509,Cacilhas (Terminal) - Paio Pires (Centro) via Seixal (Terminal Fluvial) e Amora,3509_1,43,Cacilhas (Terminal) P7,PAIO PIRES (SOC FILARMÓNICA 5 OUT),3509,Cacilhas (Terminal) - Paio Pires (Centro) via Amora e Corroios (Estação),,,3,,3,0,,,C61D23,FFFFFF,,1,1
3510,3510,Cacilhas (Terminal) - Lazarim (Pilotos),3510_0,43,Cacilhas (Terminal) P8,R Nuno Tristão (Escola),3510,Cacilhas (Terminal) - Lazarim (Pilotos),,,3,,1,0,,,C61D23,FFFFFF,,1,1
3511,3511,Cacilhas (Terminal) - Pinheirinho,3511_0,43,Cacilhas (Terminal) P3,PINHEIRINHO (R CIDADE M DOURO LTE 79),3511,Cacilhas (Terminal) - Pinheirinho,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3511,3511,Cacilhas (Terminal) - Pinheirinho,3511_1,43,Cacilhas (Terminal) P3,PINHEIRINHO (R CIDADE M DOURO LTE 79),3511,Cacilhas (Terminal) - Vale de Milhaços,,,3,,3,0,,,C61D23,FFFFFF,,1,1
3512,3512,Cacilhas (Terminal) - Quinta Princesa,3512_0,43,Cacilhas (Terminal) P3,QTA PRINCESA (R CIDADE LUANDA),3512,Cacilhas (Terminal) - Quinta Princesa,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3513,3513,Cacilhas (Terminal) - Santa Marta do Pinhal,3513_0,43,Cacilhas (Terminal) P8,STA MARTA DO PINHAL (CEMITÉRIO) R P ESTACADA,3513,Cacilhas (Terminal) - Santa Marta do Pinhal,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3513,3513,Cacilhas (Terminal) - Santa Marta do Pinhal,3513_1,43,Cacilhas (Terminal) P8,STA MARTA DO PINHAL (CEMITÉRIO) R P ESTACADA,3513,Cacilhas (Terminal) - Santa Marta do Pinhal (Cemitério),,,3,,3,0,,,C61D23,FFFFFF,,1,1
3514,3514,Cacilhas (Terminal) - Vale de Milhaços,3514_0,43,Cacilhas (Terminal) P6,VL MILHAÇOS (R INF D HENRIQ) ESCOLA,3514,Cacilhas (Terminal) - Vale de Milhaços,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3515,3515,Corroios (Estação) - Lazarim (Pilotos),3515_0,43,Corroios Estação P1,R Nuno Tristão (Escola),3515,Corroios (Estação) - Lazarim (Pilotos),,,3,TML,1,0,,,C61D23,FFFFFF,,1,1
3516,3516,Charneca de Caparica - Corroios (Estação),3516_0,43,CH CAPARICA (ESTR BELA VISTA 191),Corroios (Estação) P0,3516,Charneca de Caparica - Corroios (Estação),,,3,,1,0,,,C61D23,FFFFFF,,1,1
3517,3517,Chegadinho - Corroios (Estação),3517_0,43,Bº GONÇALVES R ALM NEG 4 (ESCOLA),Corroios (Estação) P0,3517,Chegadinho - Corroios (Estação),,,3,,1,0,,,C61D23,FFFFFF,,1,1
3518,3518,Corroios (Estação) - Vale de Figueira,3518_0,43,Corroios Estação P3,VALE FIGUEIRA R DR A ARAÚJO (ESCOLA),3518,Corroios (Estação) - Vale de Figueira,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3519,3519,Costa da Caparica (Terminal) - Corroios (Estação),3519_0,43,Costa da Caparica (Terminal) P2,Corroios (Estação) P0,3519,Costa da Caparica (Terminal) - Corroios (Estação),,,3,,1,0,,,C61D23,FFFFFF,,1,1
3520,3520,Costa da Caparica (Terminal) - Quinta do Brasileiro,3520_0,43,Costa da Caparica (Terminal) P1,R das Palmeiras 7,3520,Costa da Caparica (Terminal) - Quinta do Brasileiro,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3521,3521,Cruz de Pau - Fonte da Telha,3521_0,43,C PAU(AV MARCOS PORTUGAL) FARM/EXTERNATO,Av do Mar (X) R Amadeu de Sousa Cardoso,3521,Cruz de Pau - Fonte da Telha,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3521,3521,Cruz de Pau - Fonte da Telha,3521_1,43,C PAU(AV MARCOS PORTUGAL) FARM/EXTERNATO,Av do Mar (X) R Amadeu de Sousa Cardoso,3521,Cruz de Pau - Aroeira,,,3,,3,0,,,C61D23,FFFFFF,,1,1
3522,3522,Fonte da Telha - Paio Pires (Centro),3522_0,43,FONTE TELHA (PRAIA),PAIO PIRES (SOC FILARMÓNICA 5 OUT),3522,Fonte da Telha - Paio Pires (Centro),,,3,,1,0,,,C61D23,FFFFFF,,1,1
