block_id,agency_id,registration_date,available_seats,available_standing,typology,vclass,propulsion,emission,lowered_floor
ESC_DOM_ED1,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED10,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED100,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED101,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED102,43,20220601,24,9,1,2,2,6,0
ESC_DOM_ED103,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED104,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED105,43,20220601,38,50,3,2,8,6,1
ESC_DOM_ED106,43,20220601,24,9,1,2,2,6,0
ESC_DOM_ED107,43,20220601,24,9,1,2,2,6,0
ESC_DOM_ED108,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED109,43,20220601,24,9,1,2,2,6,0
ESC_DOM_ED11,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED110,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED111,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED112,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED113,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED114,43,20220601,38,50,3,2,8,6,1
ESC_DOM_ED115,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED116,43,20220601,38,50,3,2,8,6,1
ESC_DOM_ED117,43,20220601,45,30,3,3,2,6,1
ESC_DOM_ED118,43,20220601,24,9,1,2,2,6,0
ESC_DOM_ED119,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED12,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED120,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED121,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED122,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED123,43,20220601,45,30,3,3,2,6,1
ESC_DOM_ED124,43,20220601,45,30,3,3,2,6,1
ESC_DOM_ED125,43,20220601,38,50,3,2,8,6,1
ESC_DOM_ED13,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED14,43,20220601,45,30,3,3,2,6,1
ESC_DOM_ED15,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED16,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED17,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED18,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED19,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED2,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED20,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED21,43,20220601,38,50,3,2,8,6,1
ESC_DOM_ED22,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED23,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED24,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED25,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED26,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED27,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED28,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED29,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED3,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED30,43,20220601,24,9,1,2,2,6,0
ESC_DOM_ED31,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED32,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED33,43,20220601,24,9,1,2,2,6,0
ESC_DOM_ED34,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED35,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED36,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED37,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED38,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED39,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED4,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED40,43,20220601,39,55,3,2,2,6,1
ESC_DOM_ED41,43,20220601,39,55,3,2,2,6,1
